timestamp,status,question_id,phase,order_no,line_no,generator,success,question,drug_name,error,resolved_drug_name,routed_doc_type,routed_sections,hit_count,retrieval_seconds,generation_seconds,total_seconds,estimated_context_chars,estimated_context_tokens,estimated_prompt_chars,estimated_prompt_tokens,estimated_answer_chars,estimated_answer_tokens,command
2026-03-25T05:52:43,queued,7a10d8f07ac0a5f8,non_ollama,16,49,none,,Are there differences in excipients between product strengths?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there differences in excipients between product strengths?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,e381822dfb9aa5d3,non_ollama,17,50,none,,What formulation components are listed for this product?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What formulation components are listed for this product?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,acdca310a8dbe6ef,non_ollama,18,51,none,,Does the document distinguish the active ingredient from excipients?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Does the document distinguish the active ingredient from excipients?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,1db6f72ea2d0e693,non_ollama,19,52,none,,What pharmaceutical additives are mentioned in the label?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What pharmaceutical additives are mentioned in the label?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,62b5b489c3160a97,non_ollama,20,53,none,,Show the composition section.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Show the composition section."" --drug-name ""chlorhexidine gluconate"" --json"
2026-03-25T05:52:43,queued,92a91366c9f28cfc,non_ollama,21,54,none,,Show the excipient information only.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Show the excipient information only."" --drug-name ""chlorhexidine gluconate"" --json"
2026-03-25T05:52:43,queued,e3d67d1815b06a92,non_ollama,22,55,none,,Extract the excipient list and dosage form.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Extract the excipient list and dosage form."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,f67962d040768917,non_ollama,23,56,none,,Summarize the formulation composition and pharmaceutical properties.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize the formulation composition and pharmaceutical properties."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,8d2c5e5fc5c4994f,non_ollama,24,62,none,,List all excipients in the formulation.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""List all excipients in the formulation."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,4f390cf146f6c64b,non_ollama,25,63,none,,List all inactive ingredients.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""List all inactive ingredients."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,ea250adb0619711c,non_ollama,26,64,none,,What non-active ingredients are listed in this document?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What non-active ingredients are listed in this document?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,ee6768b46caf6c37,non_ollama,27,65,none,,"Which excipients are likely used as diluents, binders, disintegrants, or lubricants?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which excipients are likely used as diluents, binders, disintegrants, or lubricants?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,2fe9daafec5f0726,non_ollama,28,66,none,,"Which excipients are related to coating, coloring, or preservation?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which excipients are related to coating, coloring, or preservation?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,875079bf20a978b6,non_ollama,29,67,none,,Which excipients may influence stability or manufacturability?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which excipients may influence stability or manufacturability?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,3e854ae8b80cee2f,non_ollama,30,68,none,,"Which excipients may affect solubility, viscosity, or release characteristics?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which excipients may affect solubility, viscosity, or release characteristics?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,3e6fe29634d162aa,non_ollama,31,69,none,,Summarize excipient composition and likely formulation roles.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize excipient composition and likely formulation roles."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,e4be109889045630,non_ollama,32,75,none,,Are there any warnings related to excipients?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there any warnings related to excipients?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,6b0a829213a1014a,non_ollama,33,76,none,,Are there any excipient-related contraindications or precautions?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there any excipient-related contraindications or precautions?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,610139a57112b11c,non_ollama,34,77,none,,Which excipients may cause hypersensitivity or intolerance?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which excipients may cause hypersensitivity or intolerance?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,f29eb0e14d1d7ef8,non_ollama,35,78,none,,"Are there warnings about preservatives, dyes, coating agents, or alcohol-containing excipients?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there warnings about preservatives, dyes, coating agents, or alcohol-containing excipients?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,411590ca4f9a4093,non_ollama,36,79,none,,"Are there warnings about sugars, polyols, or sodium content in the formulation?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there warnings about sugars, polyols, or sodium content in the formulation?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,e50e2c4860a265bd,non_ollama,37,80,none,,Does the product contain excipients that require caution in sensitive patients?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Does the product contain excipients that require caution in sensitive patients?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,7c87b6c9692c9ff5,non_ollama,38,86,none,,Are there formulation-related warnings for pediatric patients?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there formulation-related warnings for pediatric patients?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,992b172da802ac76,non_ollama,39,87,none,,Are there formulation-related warnings for elderly patients?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there formulation-related warnings for elderly patients?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,9b8f4345678ef8f8,non_ollama,40,88,none,,Are there warnings for pregnancy or breastfeeding related to formulation or excipients?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there warnings for pregnancy or breastfeeding related to formulation or excipients?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,edd778170b1d6fc6,non_ollama,41,89,none,,"Are there safety concerns for thyroid disorders, renal dysfunction, or systemic absorption?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there safety concerns for thyroid disorders, renal dysfunction, or systemic absorption?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,31bb705ef89fd344,non_ollama,42,90,none,,"Does prolonged use, large-surface application, or mucosal use increase formulation-related safety concerns?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Does prolonged use, large-surface application, or mucosal use increase formulation-related safety concerns?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,33b32b1b30d0a8ea,non_ollama,43,91,none,,Summarize special-population precautions relevant to formulation and excipients.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize special-population precautions relevant to formulation and excipients."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,d3898573efb78be2,non_ollama,44,97,none,,What storage conditions and stability precautions are described?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What storage conditions and stability precautions are described?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,08631f1df9fe3ba5,non_ollama,45,98,none,,"Which formulation components may be sensitive to light, heat, moisture, or oxidation?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which formulation components may be sensitive to light, heat, moisture, or oxidation?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,1db56e78d4bed2ac,non_ollama,46,99,none,,Are there packaging or container considerations relevant to stability?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there packaging or container considerations relevant to stability?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,0b0338fadd7aaf84,non_ollama,47,100,none,,Summarize formulation-related stability data and storage instructions.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize formulation-related stability data and storage instructions."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,80b48d35b4159a79,non_ollama,48,106,none,,What formulation details are most relevant for generic development?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What formulation details are most relevant for generic development?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,8d89e8edb0b52133,non_ollama,49,107,none,,Which excipients or formulation characteristics may be critical quality attributes?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which excipients or formulation characteristics may be critical quality attributes?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,00271bddbe5d2d9d,non_ollama,50,108,none,,What formulation warnings should be reviewed before reformulation?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What formulation warnings should be reviewed before reformulation?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,98b925e775f3f562,non_ollama,51,109,none,,Which sample documents contain excipient information?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which sample documents contain excipient information?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,34b85683fe0167a0,non_ollama,52,110,none,,Which document is better for excipient details: label or patient guide?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which document is better for excipient details: label or patient guide?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,ca67e32e1e0f624b,non_ollama,53,111,none,,"Summarize composition, excipients, stability, and formulation-related safety risks.",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize composition, excipients, stability, and formulation-related safety risks."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,0aa0dd11e7f00913,non_ollama,54,121,none,,Summarize the pharmacokinetics of this drug.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize the pharmacokinetics of this drug."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,adf57e78bbddd7b3,non_ollama,55,122,none,,"What are the key pharmacokinetic parameters such as Cmax, Tmax, AUC, and half-life?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the key pharmacokinetic parameters such as Cmax, Tmax, AUC, and half-life?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,85c8eb75aaa1b030,non_ollama,56,123,none,,Describe the time course of plasma concentrations.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Describe the time course of plasma concentrations."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,523d2f1f088fea2d,non_ollama,57,124,none,,What population pharmacokinetic analyses are reported?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What population pharmacokinetic analyses are reported?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,3a435872b4e9b876,non_ollama,58,125,none,,"Summarize absorption, distribution, metabolism, and excretion.",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize absorption, distribution, metabolism, and excretion."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,2eb68768f8a32b50,non_ollama,59,126,none,,What is known about oral absorption and bioavailability?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What is known about oral absorption and bioavailability?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,2eef67601e9297a1,non_ollama,60,127,none,,What are the metabolism pathways and major enzymes involved?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the metabolism pathways and major enzymes involved?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,6297c4287718ead0,non_ollama,61,128,none,,What transporters are mentioned in the pharmacokinetic section?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What transporters are mentioned in the pharmacokinetic section?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,b14a5fbe941b21a7,non_ollama,62,129,none,,Are there pharmacokinetic data in renal or hepatic impairment?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there pharmacokinetic data in renal or hepatic impairment?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,862e550657d28ee1,non_ollama,63,130,none,,Summarize pharmacokinetics in special populations.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize pharmacokinetics in special populations."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,debd0320190c5206,non_ollama,64,136,none,,What are the key PK findings?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What are the key PK findings?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,b6d51cda76d89574,non_ollama,65,137,none,,What does the interview form say about storage and stability?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What does the interview form say about storage and stability?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,99f885883633a592,non_ollama,66,138,none,,Which section of the interview form describes composition and formulation?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Which section of the interview form describes composition and formulation?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,c902ba5c039a861d,non_ollama,67,139,none,,Show evidence from the pharmacokinetics section.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Show evidence from the pharmacokinetics section."" --drug-name ""chlorhexidine gluconate"" --json"
2026-03-25T05:52:43,queued,a01c9917f1c36ac1,non_ollama,68,145,none,,Summarize the stability data of the active ingredient.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize the stability data of the active ingredient."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,c240eb9281f2dd45,non_ollama,69,146,none,,Summarize the stability data of the finished formulation.,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize the stability data of the finished formulation."" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,d6047b75febae822,non_ollama,70,147,none,,What stability results are reported under long-term storage conditions?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What stability results are reported under long-term storage conditions?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,b0366272e0f67474,non_ollama,71,148,none,,What accelerated stability studies are reported?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What accelerated stability studies are reported?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,501f12afccc77026,non_ollama,72,149,none,,"What stress conditions were tested, such as heat, humidity, and light?",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What stress conditions were tested, such as heat, humidity, and light?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,bf58ef91ebe6898a,non_ollama,73,150,none,,What changes occur under light exposure or photostability testing?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What changes occur under light exposure or photostability testing?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,e0240ab986b86000,non_ollama,74,151,none,,Are there any notable degradation risks or changes in appearance?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there any notable degradation risks or changes in appearance?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,17c2f1174d53c59e,non_ollama,75,152,none,,What storage conditions and shelf-life are recommended?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""What storage conditions and shelf-life are recommended?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,9c5aaeb0024ad744,non_ollama,76,153,none,,Are there data on post-reconstitution or post-preparation stability?,chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Are there data on post-reconstitution or post-preparation stability?"" --drug-name ""chlorhexidine gluconate"""
2026-03-25T05:52:43,queued,08c3dd55807a8c57,non_ollama,77,154,none,,"Summarize stability, storage, and packaging-related precautions.",chlorhexidine gluconate,,,,,,,,,,,,,,,"python fs_rag_chatbot.py ""E:\\PharmAppDev\\database\\PMDA\\pmda_fs_index"" ""Summarize stability, storage, and packaging-related precautions."" --drug-name ""chlorhexidine gluconate"""
